"idx","feature_id","from","to","lon","lat","alt","order","Qi","MusK","MusX","Length","n","So","ChSlp","BtmWdth","NHDWaterbodyComID","time","site_no","Kchan","ascendingIndex","nCC","TopWdthCC","TopWdth"
9206,7086109,0,7087369,-95.66818237304688,48.987789154052734,320.3800048828125,4,0.0,3600.0,0.20000000298023224,2182.0,0.054999999701976776,0.0010000000474974513,0.3105020523071289,12.064090728759766,-9999,"2000-01-01 00:00:00","05106000",0,1347733,0.10999999940395355,60.32044982910156,20.1068172454834
12736,7040481,0,7040415,-96.27213287353516,47.7952995300293,328.8299865722656,2,0.0,3600.0,0.20000000298023224,4015.0,0.05999999865889549,0.003000000026077032,0.49536439776420593,4.184831142425537,-9999,"2000-01-01 00:00:00","05078520",0,327676,0.11999999731779099,20.92415428161621,6.97471809387207
12777,7053819,0,7053689,-96.2032470703125,47.74662399291992,344.1000061035156,2,0.0,3600.0,0.20000000298023224,2768.0,0.05999999865889549,0.003000000026077032,0.48774513602256775,4.33447790145874,-9999,"2000-01-01 00:00:00","05078470",0,327697,0.11999999731779099,21.67238998413086,7.224129676818848
13372,7111205,0,7112189,-91.73828125,47.76335144042969,444.3800048828125,2,0.0,3600.0,0.20000000298023224,3387.0,0.05999999865889549,0.003000000026077032,0.47695282101631165,4.559981822967529,-9999,"2000-01-01 00:00:00","05125039",0,378912,0.11999999731779099,22.799909591674805,7.599969863891602
15635,7110249,0,7110187,-91.65367889404297,47.83542251586914,458.92999267578125,1,0.0,3600.0,0.20000000298023224,6703.0,0.05999999865889549,0.003000000026077032,0.5235311985015869,3.691795825958252,-9999,"2000-01-01 00:00:00","05124982",0,328859,0.11999999731779099,18.4589786529541,6.1529927253723145
16315,14299781,0,14299859,-98.6744613647461,48.267181396484375,448.44000244140625,2,0.0,3600.0,0.20000000298023224,3475.0,0.05999999865889549,0.0010000000474974513,0.34356969594955444,9.591217994689941,-9999,"2000-01-01 00:00:00","05056215",0,363414,0.11999999731779099,47.95608901977539,15.985363006591797
17605,14251875,0,14252239,-97.79883575439453,47.360565185546875,411.9100036621094,2,0.0,3600.0,0.20000000298023224,10363.0,0.05999999865889549,0.0010000000474974513,0.4320404529571533,5.70582914352417,-9999,"2000-01-01 00:00:00","05059600",0,329499,0.11999999731779099,28.529144287109375,9.50971508026123
17632,14267476,0,14267978,-98.49073028564453,47.85554885864258,440.8999938964844,1,0.0,3600.0,0.20000000298023224,2911.0,0.05999999865889549,0.0020000000949949026,0.5451456904411316,3.3683114051818848,-9999,"2000-01-01 00:00:00","05056678",0,373291,0.11999999731779099,16.841556549072266,5.613852500915527
19048,7152082,0,7151908,-93.07332611083984,48.51773452758789,339.25,2,0.0,3600.0,0.20000000298023224,4336.0,0.05999999865889549,9.999999747378752e-06,0.5178249478340149,3.7846522331237793,120052233,"2000-01-01 00:00:00","05129290",0,2714519,0.11999999731779099,18.923261642456055,6.307754039764404
19444,14828145,0,14828071,-96.91967010498047,46.89371871948242,273.2900085449219,3,0.0,3600.0,0.20000000298023224,6254.0,0.054999999701976776,0.0010000000474974513,0.38617047667503357,7.35882043838501,-9999,"2000-01-01 00:00:00","05059480",0,2723024,0.10999999940395355,36.79410171508789,12.264700889587402
23156,14294007,0,14294133,-99.23585510253906,48.4605712890625,448.19000244140625,3,0.0,3600.0,0.20000000298023224,9729.0,0.054999999701976776,9.999999747378752e-06,0.32473766803741455,10.898500442504883,-9999,"2000-01-01 00:00:00","05056060",0,1348871,0.10999999940395355,54.49250030517578,18.164167404174805
23937,6676348,0,6676072,-96.75056457519531,46.337738037109375,285.0799865722656,4,0.0,3600.0,0.20000000298023224,14419.0,0.054999999701976776,9.999999747378752e-06,0.29118067026138306,13.955293655395508,-9999,"2000-01-01 00:00:00","05052500",0,1515644,0.10999999940395355,69.77647399902344,23.25882339477539
25211,14440046,0,14439900,-97.5399398803711,47.91876220703125,311.1300048828125,5,0.0,3600.0,0.20000000298023224,14676.0,0.05000000074505806,0.0010000000474974513,0.2988460659980774,13.157086372375488,-9999,"2000-01-01 00:00:00","05082625",0,1349635,0.10000000149011612,65.78543090820312,21.928476333618164
25226,909020972,0,909020973,-97.22642517089844,47.01182556152344,294.6300048828125,4,0.0,3600.0,0.20000000298023224,7006.0,0.054999999701976776,0.0010000000474974513,0.34130555391311646,9.736042976379395,-9999,"2000-01-01 00:00:00","05060500",0,1349643,0.10999999940395355,48.68022155761719,16.22673988342285
25569,7069483,0,7069499,-96.7108383178711,48.213661193847656,266.4200134277344,4,0.0,3600.0,0.20000000298023224,2344.0,0.054999999701976776,0.0010000000474974513,0.31177636981010437,11.952611923217773,-9999,"2000-01-01 00:00:00","05085450",0,1548739,0.10999999940395355,59.7630615234375,19.9210205078125
25760,14144081,0,14143893,-97.47869873046875,47.54689407348633,302.7799987792969,5,0.0,3600.0,0.20000000298023224,13633.0,0.05000000074505806,9.999999747378752e-06,0.2670786678791046,16.974302291870117,-9999,"2000-01-01 00:00:00","05065500",0,1349870,0.10000000149011612,84.87151336669922,28.290504455566406
25768,14172539,0,14172507,-100.5267562866211,48.169742584228516,460.6199951171875,4,0.0,3600.0,0.20000000298023224,18524.0,0.054999999701976776,0.0010000000474974513,0.2812000811100006,15.10332202911377,-9999,"2000-01-01 00:00:00","05120500",0,1423703,0.10999999940395355,75.51660919189453,25.172203063964844
