"site_no","gage_lid","feature_id","action_stage","flood_stage","moderate_stage","major_stage","url","action_cfs","flood_cfs","moderate_cfs","major_cfs","action_cms","flood_cms","moderate_cms","major_cms"
8172000,"LLGT2",1631387,11.0,20.0,24.0,30.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=ewx&gage=llgt2",2001.51,5704.88,8981.81,19007.77,56.04228,159.73664,251.49068,532.21756
8317950,"RGCN5",17835524,9.0,9.0,10.0,11.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=abq&gage=rgcn5",1560.46,1560.46,2148.12,2803.66,43.69288,43.69288,60.14736,78.50247999999999
6349000,"MDNN8",16225429,15.0,17.0,23.0,28.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=bis&gage=mdnn8",11200.0,14487.51,27500.0,"",313.6,405.65028,770.0,""
2225000,"BAXG1",14348510,72.5,74.5,80.0,84.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=jax&gage=baxg1","","","","","","","",""
1549760,"JRSP1",8153511,23.0,26.0,28.0,29.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=ctp&gage=jrsp1",114715.84,141008.62,159741.8,169461.22,3212.04352,3948.24136,4472.770399999999,4744.91416
7069000,"POCA4",7548159,16.0,17.0,22.0,25.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=lzk&gage=poca4",13785.91,14760.5,28706.73,61526.17,386.00548,413.294,803.78844,1722.73276
1108000,"BDGM3",6126439,7.5,8.0,12.0,14.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=box&gage=bdgm3",1850.0,2030.0,3910.0,4950.0,51.800000000000004,56.84,109.48,138.6
2374745,"BCNA1",2413254,11.0,16.0,22.0,33.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=mob&gage=bcna1",2804.13,6112.12,"","",78.51564,171.13936,"",""
1208500,"BEAC3",7718060,11.5,12.0,13.0,14.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=okx&gage=beac3",12661.85,13923.54,16649.85,"",354.53180000000003,389.85912,466.19579999999996,""
8020000,"GDWT2",5274290,25.0,26.0,33.0,36.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=shv&gage=gdwt2",5857.8,6266.27,11083.44,18843.4,164.0184,175.45556000000002,310.33632,527.6152000000001
14018500,"TCHW1",23637700,10.0,13.0,15.0,17.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=pdt&gage=tchw1",3910.8,6640.79,9361.01,14360.82,109.50240000000001,185.94212000000002,262.10828000000004,402.10296
13235000,"PRLI1",24158523,7.0,7.5,8.0,9.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=boi&gage=prli1",5879.91,6980.1,8147.47,"",164.63748,195.4428,228.12916,""
1453000,"BETP1",4188273,12.0,16.0,20.0,22.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=phi&gage=betp1",28491.51,42476.75,57900.0,67500.0,797.7622799999999,1189.349,1621.2,1890.0
5526000,"CHBI2",13451894,15.0,16.0,18.0,20.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=lot&gage=chbi2",15613.17,17725.9,22298.24,27322.26,437.16876,496.32520000000005,624.35072,765.02328
7146500,"ARCK1",21166925,9.0,11.0,17.0,21.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=ict&gage=arck1",9963.85,16306.97,44645.27,71288.22,278.9878,456.59515999999996,1250.06756,1996.07016
4214500,"GDVN6",15576299,6.0,7.0,8.0,9.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=buf&gage=gdvn6",4230.0,5870.0,7800.0,10140.21,118.44,164.36,218.4,283.92588
