"site_no","gage_lid","feature_id","action_stage","flood_stage","moderate_stage","major_stage","url","action_cfs","flood_cfs","moderate_cfs","major_cfs","action_cms","flood_cms","moderate_cms","major_cms"
7288500,"SUNM6",17956869,20.0,21.0,25.0,28.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=jan&gage=sunm6",4407.14,4702.48,5939.03,6920.98,123.39992000000001,131.66943999999998,166.29283999999998,193.78744
6893300,"OPDK1",4392793,10.0,14.0,16.0,18.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=eax&gage=opdk1",1818.5,6242.64,9499.11,13467.94,50.918,174.79392,265.97508000000005,377.10232
8136000,"SCCT2",5719546,23.0,26.0,30.0,37.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=sjt&gage=scct2",26000.0,32640.69,44892.96,"",728.0,913.93932,1257.00288,""
8080500,"AMTT2",13700459,19.0,21.0,35.0,37.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=lub&gage=amtt2",8797.16,11780.77,"","",246.32048,329.86156,"",""
3136500,"MVEO1",15401606,11.0,14.0,14.5,17.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=cle&gage=mveo1",5306.86,8817.22,9535.19,13519.97,148.59207999999998,246.88216,266.98532,378.55915999999996
3086000,"DSHP1",3821223,19.4,25.0,29.0,32.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=pbz&gage=dshp1",133000.0,238029.77,297612.56,347598.34,3724.0,6664.83356,8333.15168,9732.75352
7185765,"CHTM7",7590273,8.0,10.0,14.0,20.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=sgf&gage=chtm7",3734.55,5851.74,13657.54,38311.6,104.5674,163.84872,382.41112000000004,1072.7248
2492360,"MNLM6",15707325,12.0,15.0,18.0,20.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=lix&gage=mnlm6",1655.54,2600.0,4500.0,7200.0,46.35512,72.8,126.0,201.6
3124800,"NWPO1",19392708,4.1,7.5,9.0,11.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=pbz&gage=nwpo1",4389.84,9571.68,"","",122.91552,268.00704,"",""
1379500,"CAMN4",6250836,5.5,6.0,8.0,10.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=phi&gage=camn4",974.65,1350.0,2850.0,"",27.2902,37.800000000000004,79.8,""
7160000,"GTRO2",255270,16.0,18.0,22.0,25.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=oun&gage=gtro2",22968.44,32554.36,62326.17,93924.45,643.11632,911.5220800000001,1745.13276,2629.8846
6926510,"STTM7",5987239,16.0,23.0,30.0,35.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=lsx&gage=sttm7",48477.02,78947.73,118790.37,"",1357.35656,2210.53644,3326.13036,""
5517000,"KNXI3",13434009,9.0,10.0,12.0,13.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=iwx&gage=knxi3",2311.64,2909.06,4207.95,4903.88,64.72592,81.45368,117.8226,137.30864
8386000,"ACMN5",20779308,12.0,13.0,14.5,16.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=abq&gage=acmn5",3828.38,4995.92,7034.56,"",107.19464,139.88576,196.96768,""
1608000,"MOFW2",8420098,8.0,10.0,12.0,14.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=lwx&gage=mofw2",5980.93,11377.57,18800.0,28000.0,167.46604000000002,318.57196,526.4,784.0
1513831,"OWGN6",8102961,29.0,30.0,32.0,33.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=bgm&gage=owgn6",75821.31,82741.94,97210.25,104748.17,2122.99668,2316.77432,2721.887,2932.94876
8167800,"STLT2",1619595,8.0,9.0,10.0,12.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=ewx&gage=stlt2",4329.58,7003.23,10734.05,"",121.22824,196.09044,300.5534,""
4178000,"NVLI3",15678101,9.0,12.0,14.0,17.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=iwx&gage=nvli3",982.45,2380.0,4084.88,7994.24,27.5086,66.64,114.37664000000001,223.83872
4189000,"FDYO1",15644224,8.0,11.0,12.0,13.5," https://water.weather.gov/ahps2/hydrograph.php?wfo=cle&gage=fdyo1",2706.61,4363.74,5116.82,6421.47,75.78508000000001,122.18472,143.27096,179.80116
5315000,"MSHM5",4138204,12.0,14.0,15.0,16.5," https://water.weather.gov/ahps2/hydrograph.php?wfo=fsd&gage=mshm5",996.82,1630.0,"","",27.910960000000003,45.64,"",""
9024000,"FRWC2",1239657,2.7,3.0,3.5,5.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=bou&gage=frwc2",259.86,323.96,447.28,"",7.27608,9.070879999999999,12.52384,""
8049700,"MNFT2",1268648,21.0,22.0,28.0,32.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=fwd&gage=mnft2",3205.46,3725.4,10899.49,"",89.75288,104.3112,305.18572,""
6354580,"BVRN8",14665387,9.0,12.0,14.0,16.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=bis&gage=bvrn8",987.0,2108.07,4837.9,7921.63,27.636,59.025960000000005,135.4612,221.80564
1387500,"MAWN4",6246322,7.5,8.0,9.0,12.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=okx&gage=mawn4",2210.41,2819.93,4321.35,10344.89,61.891479999999994,78.95804,120.99780000000001,289.65692
9220000,"SFRW4",3196672,6.5,7.7,7.9,8.1," https://water.weather.gov/ahps2/hydrograph.php?wfo=slc&gage=sfrw4",651.0,1005.31,1074.4,"",18.228,28.14868,30.0832,""
6220800,"WRCW4",12900872,8.5,9.5,10.0,10.5," https://water.weather.gov/ahps2/hydrograph.php?wfo=riw&gage=wrcw4",7542.15,9951.46,11289.6,"",211.18019999999999,278.64088,316.10880000000003,""
13340000,"ORFI1",23606382,16.0,17.0,18.5,20.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=mso&gage=orfi1",66595.92,75186.78,89024.55,104000.0,1864.68576,2105.22984,2492.6874000000003,2912.0
12510500,"KIOW1",947030106,11.0,13.0,14.5,16.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=pdt&gage=kiow1",13609.91,18415.31,22388.07,26695.83,381.07748,515.62868,626.86596,747.48324
1481500,"WMND1",4655440,14.5,16.5,18.0,19.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=phi&gage=wmnd1",3810.54,8942.34,14000.0,17500.0,106.69512,250.38552,392.0,490.0
1564512,"SLYP1",4699337,8.0,10.0,12.0,20.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=ctp&gage=slyp1",3400.17,5540.0,8690.69,46259.93,95.20476000000001,155.12,243.33932000000001,1295.2780400000001
5551540,"MNGI2",14762989,12.5,13.0,14.0,15.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=lot&gage=mngi2",3460.2,5205.36,9673.96,16342.19,96.8856,145.75008,270.87088,457.58132
2490500,"TYTM6",15687631,14.0,15.0,17.0,23.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=lix&gage=tytm6",6100.0,7131.44,9377.7,17467.87,170.8,199.68032,262.5756,489.10035999999997
5369500,"DURW3",13107421,12.0,13.0,15.5,17.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=mpx&gage=durw3",36328.47,42165.29,64604.81,86109.2,1017.19716,1180.62812,1808.93468,2411.0576
3173000,"BANV2",6908597,10.0,11.0,14.0,17.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=rnk&gage=banv2",5862.54,7800.0,13075.91,19571.7,164.15112,218.4,366.12548,548.0076
5489500,"OTMI4",4995479,9.0,11.5,15.0,19.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=dmx&gage=otmi4",25177.87,34232.19,47647.45,73465.01,704.98036,958.5013200000001,1334.1286,2057.0202799999997
7289730,"BTAM6",19180610,21.0,22.0,25.0,29.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=jan&gage=btam6",8150.0,8850.0,11850.0,34202.57,228.20000000000002,247.8,331.8,957.67196
5536290,"SHLI2",13463917,15.0,16.5,18.0,20.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=lot&gage=shli2",2119.28,2603.71,3122.73,3865.58,59.33984000000001,72.90388,87.43644,108.23624
8039100,"AYIT2",1159329,11.5,12.0,16.0,17.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=shv&gage=ayit2",1231.28,1622.32,10087.51,13796.28,34.47584,45.42496,282.45028,386.29584
7025400,"NOMT1",7483456,19.0,20.0,21.0,23.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=meg&gage=nomt1",7321.58,9438.22,13068.15,"",205.00424,264.27016,365.9082,""
4186500,"FTJO1",15651789,11.0,13.0,16.0,20.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=iwx&gage=ftjo1",2909.67,4129.4,6967.62,13230.0,81.47076,115.6232,195.09336,370.44
8136700,"STYT2",5727563,18.0,40.0,45.0,50.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=sjt&gage=styt2",23307.84,"","","",652.61952,"","",""
6902000,"SNZM7",5969716,21.0,26.0,28.0,40.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=eax&gage=snzm7",13907.64,22216.09,25977.97,117449.29,389.41392,622.05052,727.3831600000001,3288.58012
8171000,"WMBT2",1630223,10.0,13.0,17.0,26.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=ewx&gage=wmbt2",6250.32,12220.14,22744.68,67428.07,175.00896,342.16392,636.85104,1887.9859600000002
5440700,"BYRI2",10603828,10.5,13.0,14.0,16.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=lot&gage=byri2",16506.83,25774.04,29471.78,37318.0,462.19124000000005,721.67312,825.20984,1044.904
6793000,"GELN1",17309794,9.0,10.5,12.0,13.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=gid&gage=geln1",18394.17,35759.63,60766.89,"",515.03676,1001.26964,1701.47292,""
7188000,"QUAO2",7592691,20.0,20.0,24.0,30.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=tsa&gage=quao2",32738.91,32738.91,48380.35,79653.11,916.68948,916.68948,1354.6498,2230.28708
2169500,"COLS1",9684210,10.0,19.0,24.0,30.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=cae&gage=cols1",25500.0,62272.92,99021.79,158000.0,714.0,1743.64176,2772.61012,4424.0
9485700,"RILA3",15894026,12.5,13.4,14.0,15.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=twc&gage=rila3",25702.26,32418.31,37921.32,50200.0,719.66328,907.7126800000001,1061.7969600000001,1405.6000000000001
6935965,"SCLM7",6010106,23.0,25.0,30.0,36.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=lsx&gage=sclm7",201310.99,231978.46,322287.31,492123.93,5636.707719999999,6495.39688,9024.04468,13779.47004
1533400,"MHPP1",4199592,25.0,27.0,31.0,40.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=bgm&gage=mhpp1",91313.45,108338.5,144042.66,239014.7,2556.7766,3033.478,4033.19448,6692.4116
6018500,"TWNM8",4215022,6.5,7.0,8.0,9.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=tfx&gage=twnm8",982.25,1320.0,"","",27.503,36.96,"",""
2202040,"RFDG1",9941682,12.0,13.0,18.0,23.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=chs&gage=rfdg1",12110.15,18045.9,"","",339.0842,505.28520000000003,"",""
6828500,"STTN1",19093303,10.0,11.0,13.0,15.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=gld&gage=sttn1",1370.62,2511.23,"","",38.377359999999996,70.31444,"",""
11152500,"SPRC1",8200523,20.0,23.0,26.0,28.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=mtr&gage=sprc1",11183.65,16824.16,24009.37,29736.26,313.1422,471.07648,672.26236,832.61528
3603000,"HMLT1",19514640,20.0,24.0,26.0,28.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=ohx&gage=hmlt1",35262.26,55962.36,72429.63,90910.49,987.34328,1566.94608,2028.0296400000002,2545.4937200000004
7260500,"DANA4",7803469,20.0,20.0,24.0,26.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=lzk&gage=dana4",4046.19,4046.19,10718.74,17420.5,113.29332000000001,113.29332000000001,300.12472,487.774
4063000,"FLOW3",6844381,8.5,9.0,11.0,13.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=grb&gage=flow3",7458.23,8378.28,12526.36,17399.67,208.83043999999998,234.59184000000002,350.73808,487.19075999999995
6785000,"SPLN1",17375806,7.0,8.0,10.0,12.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=gid&gage=spln1",37827.64,"","","",1059.17392,"","",""
1573000,"HTVP1",4708726,7.0,9.0,12.0,15.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=ctp&gage=htvp1",4866.29,7173.59,11019.59,16200.13,136.25612,200.86052,308.54852,453.60364
3582000,"FYTT1",19608213,14.0,17.5,20.7,26.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=hun&gage=fytt1",8579.94,12253.71,17150.57,30514.18,240.23832000000002,343.10388,480.21596,854.3970400000001
6909500,"FYTM7",5156625,11.0,16.0,21.0,25.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=eax&gage=fytm7",799.77,2045.35,5884.54,"",22.39356,57.2698,164.76712,""
5487470,"AKWI4",22251347,26.0,29.0,30.0,32.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=dmx&gage=akwi4",21167.62,27689.97,30068.53,35134.78,592.69336,775.31916,841.9188399999999,983.77384
2387000,"TLNG1",12194190,15.0,18.0,24.0,28.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=ffc&gage=tlng1",7861.7,10362.6,18755.18,29464.48,220.1276,290.1528,525.14504,825.00544
8050400,"GLLT2",1274838,20.0,22.0,23.0,25.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=fwd&gage=gllt2",11808.07,15082.04,17281.18,23220.27,330.62596,422.29712,483.87304,650.16756
7289350,"WSTM6",19222549,12.0,15.0,20.0,25.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=jan&gage=wstm6",1925.16,2930.0,13356.53,54442.78,53.90448000000001,82.04,373.98284,1524.39784
4213500,"GOWN6",15582369,8.0,10.0,12.0,14.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=buf&gage=gown6",10697.71,17143.69,24933.78,34021.38,299.53587999999996,480.02331999999996,698.14584,952.5986399999999
8286500,"RCAN5",17846526,10.2,11.0,12.0,13.5," https://water.weather.gov/ahps2/hydrograph.php?wfo=abq&gage=rcan5",4394.77,5971.66,"","",123.05356000000002,167.20648,"",""
8041780,"NSBT2",1114345,3.4,4.0,6.0,8.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=lch&gage=nsbt2",20183.21,23178.47,33900.0,47511.57,565.12988,648.99716,949.2,1330.32396
8181480,"LKST2",10836388,13.0,15.0,16.0,20.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=ewx&gage=lkst2",2214.15,3656.9,4664.01,10675.14,61.9962,102.39320000000001,130.59228000000002,298.90391999999997
4024000,"SCNM5",1777616,9.5,10.5,11.0,13.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=dlh&gage=scnm5",15860.74,19602.14,21603.6,30459.75,444.10072,548.85992,604.9008,852.873
9431500,"RGRN5",3081637,15.0,20.0,25.0,29.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=epz&gage=rgrn5",10846.53,20871.24,33789.18,46124.45,303.70284000000004,584.39472,946.09704,1291.4846
5395000,"RRLW3",14728798,10.0,11.0,13.5,15.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=grb&gage=rrlw3",12879.37,15461.88,22583.14,27276.8,360.62236,432.93264,632.32792,763.7504
2370000,"BAKF1",791526,6.0,11.0,16.0,24.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=mob&gage=bakf1",1164.3,2865.43,6280.43,21500.0,32.6004,80.23204,175.85204000000002,602.0
2213000,"MACG1",6341518,16.0,18.0,26.0,30.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=ffc&gage=macg1",9031.85,13261.4,42995.01,65360.29,252.89180000000002,371.3192,1203.86028,1830.0881200000001
9019500,"CBGC2",1234513,5.0,6.0,7.0,9.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=bou&gage=cbgc2",1828.27,3114.55,"","",51.19156,87.2074,"",""
8150000,"JNCT2",5770577,12.0,16.0,22.0,31.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=sjt&gage=jnct2",15401.92,27573.17,51324.1,115903.06,431.25376,772.04876,1437.0748,3245.28568
7326500,"ANDO2",683473,17.0,19.0,21.0,23.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=oun&gage=ando2",5200.0,7100.0,9400.0,12800.0,145.6,198.8,263.2,358.40000000000003
2375500,"CTYF1",448444,12.0,17.0,25.0,37.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=mob&gage=ctyf1",8168.35,20086.84,102168.19,"",228.71380000000002,562.43152,2860.70932,""
1152500,"WCLN3",9329460,5.0,7.0,9.0,11.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=gyx&gage=wcln3",3298.8,6382.17,10183.47,14500.0,92.36640000000001,178.70076,285.13716,406.0
10338000,"TRCC1",8933958,3.7,4.5,5.5,6.5," https://water.weather.gov/ahps2/hydrograph.php?wfo=rev&gage=trcc1",1348.48,2205.0,3477.38,4993.45,37.75744,61.74,97.36664,139.8166
5489000,"BSSI4",4994047,16.0,25.0,30.0,32.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=dmx&gage=bssi4",6233.17,16833.55,37187.18,61838.37,174.52876,471.3394,1041.24104,1731.4743600000002
8033900,"CUST2",1149925,14.0,15.0,17.0,19.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=shv&gage=cust2",494.77,998.57,5613.32,21832.59,13.85356,27.959960000000002,157.17296,611.3125200000001
8034500,"JKST2",1151409,8.5,9.0,15.0,20.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=shv&gage=jkst2",2504.84,3373.96,"","",70.13552,94.47088000000001,"",""
7106500,"FCHC2",1532253,8.0,10.0,12.0,13.5," https://water.weather.gov/ahps2/hydrograph.php?wfo=pub&gage=fchc2",8456.8,15500.0,22239.44,"",236.79039999999998,434.0,622.7043199999999,""
3291500,"GNCK2",1823336,15.0,18.0,24.0,28.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=iln&gage=gnck2",15509.34,22445.0,39890.68,54119.1,434.26152,628.46,1116.93904,1515.3348
3118500,"NHSO1",19389766,8.0,10.0,12.0,13.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=cle&gage=nhso1",1984.57,3089.67,4885.22,6335.19,55.56796,86.51076,136.78616000000002,177.38531999999998
5555300,"LNRI2",13617265,15.5,16.0,21.0,26.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=lot&gage=lnri2",9715.47,10347.91,17801.18,28224.57,272.03316,289.74148,498.43304,790.28796
1350355,"BKBN6",3246744,8.0,11.0,16.0,18.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=aly&gage=bkbn6",7097.41,18048.39,44390.78,58700.16,198.72748,505.35492,1242.94184,1643.6044800000002
3182500,"BUCW2",12105064,12.0,15.0,18.0,26.5," https://water.weather.gov/ahps2/hydrograph.php?wfo=rlx&gage=bucw2",17200.0,27900.0,41900.0,"",481.6,781.2,1173.2,""
8447000,"SPCT2",332712,23.0,28.0,29.0,30.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=maf&gage=spct2","","","","","","","",""
2087500,"CLYN7",8786017,9.0,9.0,13.0,16.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=rah&gage=clyn7",5472.34,5472.34,9189.03,13125.03,153.22552000000002,153.22552000000002,257.29284,367.50084000000004
7292500,"RSAM6",19112978,18.0,19.0,30.0,37.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=jan&gage=rsam6",41024.27,47359.44,"","",1148.67956,1326.0643200000002,"",""
4111379,"WMSM4",12241822,7.0,9.0,10.0,10.5," https://water.weather.gov/ahps2/hydrograph.php?wfo=grr&gage=wmsm4",610.45,1610.49,2326.57,"",17.0926,45.093720000000005,65.14396,""
3175500,"WOLV2",6908591,9.0,10.0,12.0,13.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=rnk&gage=wolv2",5424.75,7165.31,11407.65,13914.22,151.893,200.62868,319.4142,389.59816
6813000,"FFXM7",3702270,12.0,17.0,18.0,25.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=eax&gage=ffxm7",2048.52,4758.42,5383.69,10856.77,57.358560000000004,133.23576,150.74331999999998,303.98956000000004
8176500,"VICT2",1639225,12.0,21.0,27.0,29.5," https://water.weather.gov/ahps2/hydrograph.php?wfo=crp&gage=vict2",3285.89,9165.67,16172.41,45222.89,92.00492,256.63876,452.82748,1266.24092
5527500,"WLMI2",13439203,5.0,6.5,8.0,10.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=lot&gage=wlmi2",21300.0,31782.23,43200.0,60000.0,596.4,889.90244,1209.6000000000001,1680.0
3157500,"ENTO1",15419475,9.0,12.0,16.0,21.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=iln&gage=ento1",3727.84,5800.0,10500.0,24374.61,104.37952,162.4,294.0,682.4890800000001
6025500,"MLRM8",4228286,5.0,6.0,7.5,8.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=tfx&gage=mlrm8",5374.46,7680.52,11806.65,13357.79,150.48488,215.05456,330.5862,374.01812
5416900,"MCHI4",13376223,12.0,14.0,17.0,20.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=dvn&gage=mchi4",3575.57,5554.92,9695.65,15273.63,100.11596,155.53776,271.4782,427.66164
9105000,"PCCC2",3179298,7.0,8.0,9.0,10.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=gjt&gage=pccc2","","","","","","","",""
4198000,"FFMO1",15612718,7.0,10.0,13.0,21.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=cle&gage=ffmo1",12959.71,22746.92,34092.23,"",362.87188,636.9137599999999,954.5824400000001,""
6893150,"KBRM7",4393139,29.0,35.0,39.0,48.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=eax&gage=kbrm7",2183.42,8180.1,16315.53,"",61.135760000000005,229.04280000000003,456.83484000000004,""
2301500,"LITF1",16896602,11.0,13.0,16.0,19.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=tbw&gage=litf1",1142.05,1646.76,2938.17,5361.0,31.9774,46.10928,82.26876,150.108
6866000,"LNSK1",18887146,19.0,21.0,29.0,33.9," https://water.weather.gov/ahps2/hydrograph.php?wfo=ict&gage=lnsk1",3103.57,3989.28,8630.82,"",86.89996000000001,111.69984000000001,241.66296,""
2344350,"LOVG1",6415468,9.0,12.0,14.0,16.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=ffc&gage=lovg1",1328.48,3190.24,5080.43,7400.0,37.19744,89.32672,142.25204000000002,207.20000000000002
4155500,"MPRM4",13039268,11.0,12.0,14.0,16.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=dtx&gage=mprm4",8138.61,9671.13,13052.0,"",227.88108,270.79164,365.456,""
2096500,"HAWN7",8891488,16.0,18.0,23.0,27.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=rah&gage=hawn7",8750.0,10844.8,17399.62,24856.59,245.0,303.6544,487.18935999999997,695.98452
2037500,"RMDV2",8574021,9.0,12.0,15.0,22.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=akq&gage=rmdv2",22565.88,41994.58,66660.0,166781.83,631.84464,1175.84824,1866.48,4669.89124
4280000,"CARV1",10312666,18.0,20.0,22.0,24.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=btv&gage=carv1",6189.17,8467.77,11187.83,14374.86,173.29676,237.09756000000002,313.25924,402.49608
14357500,"MFDO3",947100124,8.0,10.0,13.0,14.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=mfr&gage=mfdo3",2629.96,5265.1,"","",73.63888,147.42280000000002,"",""
7301300,"SHAT2",13754389,9.0,10.0,13.0,20.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=ama&gage=shat2",1871.3,3844.95,"","",52.3964,107.65859999999999,"",""
1567000,"NPTP1",4699925,17.0,22.0,25.0,30.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=ctp&gage=nptp1",53861.7,86639.88,109665.75,153479.95,1508.1276,2425.9166400000004,3070.641,4297.4386
4148295,"FLSM4",13020017,8.0,10.0,11.0,12.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=dtx&gage=flsm4",1050.39,1617.96,"","",29.410920000000004,45.30288,"",""
5484800,"DOSI4",6609844,10.0,14.0,15.0,17.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=dmx&gage=dosi4",1827.81,3282.39,3676.76,5378.41,51.17868,91.90692,102.94928,150.59548
14301500,"TLMO3",23875925,10.5,12.0,15.5,19.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=pqr&gage=tlmo3",11081.42,14054.2,21165.46,28463.59,310.27976,393.5176,592.63288,796.9805200000001
8069000,"WFDT2",1508289,81.9,82.9,84.9,85.9," https://water.weather.gov/ahps2/hydrograph.php?wfo=hgx&gage=wfdt2",7194.05,7829.84,9207.74,10016.05,201.4334,219.23552,257.81672,280.44939999999997
14307620,"MPLO3",23889518,15.0,18.0,22.0,28.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=pqr&gage=mplo3",16234.05,22186.81,31546.16,48089.73,454.5534,621.23068,883.2924800000001,1346.5124400000002
2365500,"CARF1",2242113,10.0,14.0,16.0,20.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=tae&gage=carf1",8976.99,28733.11,48279.66,106098.55,251.35572,804.5270800000001,1351.83048,2970.7594000000004
3048500,"VGFP1",4581930,19.3,25.0,27.0,28.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=pbz&gage=vgfp1",37251.96,61893.22,"","",1043.05488,1733.01016,"",""
3333050,"DLPI3",18490768,6.0,8.0,12.0,15.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=ind&gage=dlpi3",5350.3,8663.03,16691.18,25023.22,149.8084,242.56484000000003,467.35304,700.65016
3262000,"LOCO1",3984508,15.0,35.0,59.0,62.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=iln&gage=loco1",2930.48,6400.0,"","",82.05344000000001,179.20000000000002,"",""
6876000,"BLTK1",3536087,18.0,20.0,25.0,30.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=gid&gage=bltk1",4070.49,"","","",113.97372,"","",""
6843500,"CAMN1",19040347,8.0,9.0,10.0,16.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=gid&gage=camn1",2643.33,3565.59,4646.62,"",74.01324,99.83652000000001,130.10536,""
5545750,"NMSW3",14769576,10.0,11.0,13.0,14.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=mkx&gage=nmsw3",1752.76,2138.79,3269.39,4014.19,49.07728,59.88612,91.54292,112.39732000000001
9470500,"SPPA3",945050169,15.0,16.0,17.0,18.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=twc&gage=sppa3",6795.21,8028.76,9435.7,11071.12,190.26588,224.80528,264.19960000000003,309.99136000000004
8085500,"ABYT2",5521636,31.0,35.0,45.0,49.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=sjt&gage=abyt2",8151.05,12434.07,"","",228.2294,348.15396,"",""
14321000,"EKTO3",24526814,25.0,33.0,40.0,50.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=mfr&gage=ekto3",80766.53,126527.48,173572.41,250399.77,2261.46284,3542.76944,4860.027480000001,7011.19356
